,model,member,experiment,lfquery
0,CESM2,r1i1p1f1,historical,source_id=='CESM2' & experiment_id=='amip' & member_id=='r1i1p1f1' & variable_id=='sftlf' & table_id=='fx'
1,CESM2-FV2,r1i1p1f1,historical,source_id=='CESM2-FV2' & experiment_id=='piControl' & member_id=='r1i1p1f1' & variable_id=='sftlf' & table_id=='fx'
2,CESM2-WACCM,r1i1p1f1,historical,source_id=='CESM2-WACCM' & experiment_id=='amip' & member_id=='r2i1p1f1' & variable_id=='sftlf' & table_id=='fx'
3,CESM2-WACCM-FV2,r1i1p1f1,historical,source_id=='CESM2-WACCM-FV2' & experiment_id=='historical' & member_id=='r1i1p1f1' & variable_id=='sftlf' & table_id=='fx'
4,CMCC-CM2-SR5,r1i1p1f1,historical,source_id=='CMCC-CM2-SR5' & experiment_id=='historical' & member_id=='r1i1p1f1' & variable_id=='sftlf' & table_id=='fx'
5,CanESM5,r11i1p1f1,historical,source_id=='CanESM5' & experiment_id=='ssp370' & member_id=='r23i1p2f1' & variable_id=='sftlf' & table_id=='fx'
6,CanESM5,r1i1p1f1,historical,source_id=='CanESM5' & experiment_id=='ssp370' & member_id=='r23i1p2f1' & variable_id=='sftlf' & table_id=='fx'
7,CanESM5,r21i1p1f1,historical,source_id=='CanESM5' & experiment_id=='ssp370' & member_id=='r23i1p2f1' & variable_id=='sftlf' & table_id=='fx'
8,CanESM5,r23i1p1f1,historical,source_id=='CanESM5' & experiment_id=='ssp370' & member_id=='r23i1p2f1' & variable_id=='sftlf' & table_id=='fx'
9,CanESM5,r4i1p2f1,historical,source_id=='CanESM5' & experiment_id=='ssp370' & member_id=='r23i1p2f1' & variable_id=='sftlf' & table_id=='fx'
10,E3SM-1-0,r1i1p1f1,historical,source_id=='E3SM-1-0' & experiment_id=='amip' & member_id=='r1i1p1f1' & variable_id=='sftlf' & table_id=='fx'
11,E3SM-1-1,r1i1p1f1,historical,source_id=='E3SM-1-1' & experiment_id=='piControl' & member_id=='r1i1p1f1' & variable_id=='sftlf' & table_id=='fx'
12,E3SM-1-1-ECA,r1i1p1f1,historical,source_id=='E3SM-1-1-ECA' & experiment_id=='piControl' & member_id=='r1i1p1f1' & variable_id=='sftlf' & table_id=='fx'
13,FGOALS-g3,r1i1p1f1,historical,source_id=='FGOALS-g3' & experiment_id=='ssp370' & member_id=='r3i1p1f1' & variable_id=='sftlf' & table_id=='fx'
14,FGOALS-g3,r1i1p1f1,ssp585,source_id=='FGOALS-g3' & experiment_id=='ssp370' & member_id=='r3i1p1f1' & variable_id=='sftlf' & table_id=='fx'
15,FGOALS-g3,r3i1p1f1,historical,source_id=='FGOALS-g3' & experiment_id=='ssp370' & member_id=='r3i1p1f1' & variable_id=='sftlf' & table_id=='fx'
16,GFDL-CM4,r1i1p1f1,historical,source_id=='GFDL-CM4' & experiment_id=='ssp245' & member_id=='r1i1p1f1' & variable_id=='sftlf' & table_id=='fx'
17,GFDL-CM4,r1i1p1f1,ssp585,source_id=='GFDL-CM4' & experiment_id=='ssp245' & member_id=='r1i1p1f1' & variable_id=='sftlf' & table_id=='fx'
18,GFDL-ESM4,r1i1p1f1,historical,source_id=='GFDL-ESM4' & experiment_id=='land-hist' & member_id=='r1i1p1f1' & variable_id=='sftlf' & table_id=='fx'
19,GFDL-ESM4,r1i1p1f1,ssp585,source_id=='GFDL-ESM4' & experiment_id=='land-hist' & member_id=='r1i1p1f1' & variable_id=='sftlf' & table_id=='fx'
20,GISS-E2-1-H,r1i1p1f1,historical,source_id=='GISS-E2-1-H' & experiment_id=='piControl' & member_id=='r1i1p3f1' & variable_id=='sftlf' & table_id=='fx'
21,MIROC-ES2L,r1i1p1f2,historical,source_id=='MIROC-ES2L' & experiment_id=='ssp245' & member_id=='r1i1p1f2' & variable_id=='sftlf' & table_id=='fx'
22,MIROC-ES2L,r2i1p1f2,historical,source_id=='MIROC-ES2L' & experiment_id=='ssp245' & member_id=='r1i1p1f2' & variable_id=='sftlf' & table_id=='fx'
23,MIROC-ES2L,r3i1p1f2,historical,source_id=='MIROC-ES2L' & experiment_id=='ssp245' & member_id=='r1i1p1f2' & variable_id=='sftlf' & table_id=='fx'
24,MIROC6,r1i1p1f1,historical,source_id=='MIROC6' & experiment_id=='historical' & member_id=='r6i1p1f1' & variable_id=='sftlf' & table_id=='fx'
25,MPI-ESM-1-2-HAM,r1i1p1f1,historical,source_id=='MPI-ESM-1-2-HAM' & experiment_id=='piControl' & member_id=='r1i1p1f1' & variable_id=='sftlf' & table_id=='fx'
26,MPI-ESM1-2-HR,r1i1p1f1,historical,source_id=='MPI-ESM1-2-HR' & experiment_id=='ssp370' & member_id=='r6i1p1f1' & variable_id=='sftlf' & table_id=='fx'
27,MPI-ESM1-2-LR,r1i1p1f1,historical,source_id=='MPI-ESM1-2-LR' & experiment_id=='ssp245-cov-fossil' & member_id=='r3i1p1f99' & variable_id=='sftlf' & table_id=='fx'
28,MRI-ESM2-0,r1i1p1f1,historical,source_id=='MRI-ESM2-0' & experiment_id=='ssp126' & member_id=='r1i1p1f1' & variable_id=='sftlf' & table_id=='fx'
29,NorCPM1,r10i1p1f1,historical,source_id=='NorCPM1' & experiment_id=='historical' & member_id=='r12i1p1f1' & variable_id=='sftlf' & table_id=='fx'
30,NorCPM1,r11i1p1f1,historical,source_id=='NorCPM1' & experiment_id=='historical' & member_id=='r12i1p1f1' & variable_id=='sftlf' & table_id=='fx'
31,NorCPM1,r12i1p1f1,historical,source_id=='NorCPM1' & experiment_id=='historical' & member_id=='r12i1p1f1' & variable_id=='sftlf' & table_id=='fx'
32,NorCPM1,r13i1p1f1,historical,source_id=='NorCPM1' & experiment_id=='historical' & member_id=='r12i1p1f1' & variable_id=='sftlf' & table_id=='fx'
33,NorCPM1,r14i1p1f1,historical,source_id=='NorCPM1' & experiment_id=='historical' & member_id=='r12i1p1f1' & variable_id=='sftlf' & table_id=='fx'
34,NorCPM1,r15i1p1f1,historical,source_id=='NorCPM1' & experiment_id=='historical' & member_id=='r12i1p1f1' & variable_id=='sftlf' & table_id=='fx'
35,NorCPM1,r16i1p1f1,historical,source_id=='NorCPM1' & experiment_id=='historical' & member_id=='r12i1p1f1' & variable_id=='sftlf' & table_id=='fx'
36,NorCPM1,r17i1p1f1,historical,source_id=='NorCPM1' & experiment_id=='historical' & member_id=='r12i1p1f1' & variable_id=='sftlf' & table_id=='fx'
37,NorCPM1,r18i1p1f1,historical,source_id=='NorCPM1' & experiment_id=='historical' & member_id=='r12i1p1f1' & variable_id=='sftlf' & table_id=='fx'
38,NorCPM1,r19i1p1f1,historical,source_id=='NorCPM1' & experiment_id=='historical' & member_id=='r12i1p1f1' & variable_id=='sftlf' & table_id=='fx'
39,NorCPM1,r1i1p1f1,historical,source_id=='NorCPM1' & experiment_id=='historical' & member_id=='r12i1p1f1' & variable_id=='sftlf' & table_id=='fx'
40,NorCPM1,r20i1p1f1,historical,source_id=='NorCPM1' & experiment_id=='historical' & member_id=='r12i1p1f1' & variable_id=='sftlf' & table_id=='fx'
41,NorCPM1,r21i1p1f1,historical,source_id=='NorCPM1' & experiment_id=='historical' & member_id=='r12i1p1f1' & variable_id=='sftlf' & table_id=='fx'
42,NorCPM1,r22i1p1f1,historical,source_id=='NorCPM1' & experiment_id=='historical' & member_id=='r12i1p1f1' & variable_id=='sftlf' & table_id=='fx'
43,NorCPM1,r23i1p1f1,historical,source_id=='NorCPM1' & experiment_id=='historical' & member_id=='r12i1p1f1' & variable_id=='sftlf' & table_id=='fx'
44,NorCPM1,r24i1p1f1,historical,source_id=='NorCPM1' & experiment_id=='historical' & member_id=='r12i1p1f1' & variable_id=='sftlf' & table_id=='fx'
45,NorCPM1,r25i1p1f1,historical,source_id=='NorCPM1' & experiment_id=='historical' & member_id=='r12i1p1f1' & variable_id=='sftlf' & table_id=='fx'
46,NorCPM1,r26i1p1f1,historical,source_id=='NorCPM1' & experiment_id=='historical' & member_id=='r12i1p1f1' & variable_id=='sftlf' & table_id=='fx'
47,NorCPM1,r27i1p1f1,historical,source_id=='NorCPM1' & experiment_id=='historical' & member_id=='r12i1p1f1' & variable_id=='sftlf' & table_id=='fx'
48,NorCPM1,r28i1p1f1,historical,source_id=='NorCPM1' & experiment_id=='historical' & member_id=='r12i1p1f1' & variable_id=='sftlf' & table_id=='fx'
49,NorCPM1,r29i1p1f1,historical,source_id=='NorCPM1' & experiment_id=='historical' & member_id=='r12i1p1f1' & variable_id=='sftlf' & table_id=='fx'
50,NorCPM1,r2i1p1f1,historical,source_id=='NorCPM1' & experiment_id=='historical' & member_id=='r12i1p1f1' & variable_id=='sftlf' & table_id=='fx'
51,NorCPM1,r30i1p1f1,historical,source_id=='NorCPM1' & experiment_id=='historical' & member_id=='r12i1p1f1' & variable_id=='sftlf' & table_id=='fx'
52,NorCPM1,r3i1p1f1,historical,source_id=='NorCPM1' & experiment_id=='historical' & member_id=='r12i1p1f1' & variable_id=='sftlf' & table_id=='fx'
53,NorCPM1,r4i1p1f1,historical,source_id=='NorCPM1' & experiment_id=='historical' & member_id=='r12i1p1f1' & variable_id=='sftlf' & table_id=='fx'
54,NorCPM1,r5i1p1f1,historical,source_id=='NorCPM1' & experiment_id=='historical' & member_id=='r12i1p1f1' & variable_id=='sftlf' & table_id=='fx'
55,NorCPM1,r6i1p1f1,historical,source_id=='NorCPM1' & experiment_id=='historical' & member_id=='r12i1p1f1' & variable_id=='sftlf' & table_id=='fx'
56,NorCPM1,r8i1p1f1,historical,source_id=='NorCPM1' & experiment_id=='historical' & member_id=='r12i1p1f1' & variable_id=='sftlf' & table_id=='fx'
57,NorCPM1,r9i1p1f1,historical,source_id=='NorCPM1' & experiment_id=='historical' & member_id=='r12i1p1f1' & variable_id=='sftlf' & table_id=='fx'
58,SAM0-UNICON,r1i1p1f1,historical,source_id=='SAM0-UNICON' & experiment_id=='amip' & member_id=='r1i1p1f1' & variable_id=='sftlf' & table_id=='fx'
